trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,14,-42.607866240205404,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,10,-35.350123888823546,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.9004471023526769}",35,0,-131.6719295122251,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-121.02052934850276,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,1,-89.84020254279267,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
47,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-54.012884145600175,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-49.93044729449723,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,0,-79.64921364408963,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-176.46027984144092,"{0: 9, 1: 5, 2: 6, 3: 5, 4: 0}",0
51,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-139.77188617541645,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-167.5271888950616,"{0: 19, 1: 3, 2: 2, 3: 4, 4: 2}",0
53,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-136.6148351715777,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-56.77654636901337,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-97.55667385908394,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,0,-145.3806079669659,"{0: 21, 1: 4, 2: 1, 3: 1, 4: 3}",0
57,False,"{'a': 0.01, 'e': 0.8364626499151869}",30,15,-25.44700114689448,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.8309406791001634}",25,0,-215.3824659031953,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
59,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,-113.7287822278621,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-185.16271837175654,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
61,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,0,-230.57832230771172,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 5}",0
62,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,17,-22.30500363518759,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,13,-29.750476730525023,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,0,-105.59431048002146,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-74.01517448489624,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,12,-26.595961467252984,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,3,-57.67842045904472,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-84.41453838200842,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,1,-79.58702149535505,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,11,-17.257486668198425,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.751805729140895}",20,3,-8.77538977986648,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
